Package Tracking Number,Transaction Date,Recipient Name,Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight,User Email,Service Cost,Weight (lbs),Appearances
{9455140105156000068857},2025-02-07 0:00:00,Interlibrary Loan,Mid-Continent Public Library,15616 E US Highway 24 Independence MO 64050-2057,US,Library Mail,4.4,1 lbs ,,,1,56
{9455109105156111450128},2025-01-03 0:00:00,Interlibrary Loan,North Olympic Library System,2210 S Peabody St Port Angeles WA 98362-6536,US,Library Mail,4.4,1 lbs ,,,1,54
{9455109105156112087910},2025-01-07 0:00:00,Interlibrary Loan,Salt Lake County Library Services,2197 E Ft Union Blvd Cottonwood Heights UT 84121-3139,US,Library Mail,5.82,3 lbs ,,,3,51
{9455109105156608465680},2025-01-10 0:00:00,Interlibrary Loan,Phoenix Public Library,1221 N Central Ave Phoenix AZ 85004-1867,US,Library Mail,5.82,3 lbs ,,,3,51
{9455109105156112745353},2025-01-10 0:00:00,Interlibrary Loan Dept,Denver Public Library,10 W 14th Avenue Pkwy Denver CO 80204-2731,US,Library Mail,4.4,1 lbs ,,,1,48
{9455109105156111441300},2025-01-03 0:00:00,Interlibrary Loan,San Francisco Public Library,100 Larkin St San Francisco CA 94102-4733,US,Library Mail,5.11,2 lbs ,,,2,47
{9455109105156112088276},2025-01-07 0:00:00,Interlibrary Loan,Queens Library,8911 Merrick Blvd Jamaica NY 11432-5242,US,Library Mail,5.11,2 lbs ,,,2,45
{9455109105156607628598},2025-01-06 0:00:00,Interlibrary Loan,Camas Public Library,625 NE 4th Ave Camas WA 98607-2109,US,Library Mail,5.11,2 lbs ,,,2,43
{9455109105156112451384},2025-01-09 0:00:00,Interlibrary Loan Department,Jefferson County Library System,620 Cedar Ave Port Hadlock WA 98339-5001,US,Library Mail,6.53,4 lbs ,,,4,43
{9455109105156608243073},2025-01-09 0:00:00,Interlibrary Loan,Johnson County Library,PO Box 2933 Shawnee Mission KS 66201-1333,US,Library Mail,5.82,3 lbs ,,,3,42
{9455109105156609168252},2025-01-15 0:00:00,Interlibrary Loan Department,Schaumburg Township District Library,130 S Roselle Rd Schaumburg IL 60193-1642,US,Library Mail,5.82,3 lbs ,,,3,42
{9455109105156608723339},2025-01-13 0:00:00,Interlibrary Loan,Wichita Public Library,711 W 2nd St N Wichita KS 67203-6004,US,Library Mail,5.11,2 lbs ,,,2,41
{9455109105156113672016},2025-01-16 0:00:00,Interlibrary Loans,Yakima Valley Libraries,102 N 3rd St Yakima WA 98901-2759,US,Library Mail,10.08,8 lbs 15 oz,,,8.9375,40
{9455109105156608243493},2025-01-09 0:00:00,ILL Dept,Springfield-Greene County Library,4653 S Campbell Ave Springfield MO 65810-1723,US,Library Mail,5.82,3 lbs ,,,3,39
{9455109105156111445575},2025-01-03 0:00:00,Interlibrary Loan,LeRoy Collins Leon County Public Library,200 W Park Ave Tallahassee FL 32301-7716,US,Library Mail,5.82,3 lbs ,,,3,38
{9455109105156608474583},2025-01-10 0:00:00,Interlibrary Loan,Salt Lake City Public Library,210 E 400 S Salt Lake City UT 84111-2804,US,Library Mail,4.4,1 lbs ,,,1,37
{9455109105156608474248},2025-01-10 0:00:00,Interlibrary Loan Dept,Madison Public Library,201 W Mifflin St Madison WI 53703-2597,US,Library Mail,4.4,1 lbs ,,,1,36
{9455109105156608713866},2025-01-13 0:00:00,Interlibrary Loan Dept,Buffalo & Erie County Public Library,1 Lafayette Sq Buffalo NY 14203-1887,US,Library Mail,6.53,4 lbs ,,,4,35
{9455109105156113145848},2025-01-14 0:00:00,Interlibrary Loan,Pikes Peak Library District,PO Box 1579 Colorado Springs CO 80901-1579,US,Library Mail,4.4,1 lbs ,,,1,35
{9455109105156111658135},2025-01-06 0:00:00,Interlibrary Loan,Davis County Library,PO Box 115 Farmington UT 84025-0115,US,Library Mail,5.11,2 lbs ,,,2,33
{9455109105156111659576},2025-01-06 0:00:00,ILL Office,Las Vegas-Clark County Library,7060 W Windmill Ln Las Vegas NV 89113-4678,US,Library Mail,5.11,2 lbs ,,,2,33
{9455109105156112453296},2025-01-09 0:00:00,Interlibrary Loan,Liberty Lake Municipal Library,23123 E Mission Ave Liberty Lake WA 99019-4917,US,Library Mail,5.82,3 lbs ,,,3,33
{9455109105156113146548},2025-01-14 0:00:00,Interlibrary Loan,Jefferson County Public Library,10500 W 38th Ave Wheat Ridge CO 80033-4012,US,Library Mail,5.11,2 lbs ,,,2,33
{9455109105156608239069},2025-01-09 0:00:00,Interlibrary Loans,Orcas Island Library,500 Rose St Eastsound WA 98245-9453,US,Library Mail,5.82,3 lbs ,,,3,32
{9455109105156608244391},2025-01-09 0:00:00,Washington State Library Services,Coyote Ridge Corrections Center Library,1301 N Ephrata Ave Connell WA 99326-9601,US,Library Mail,5.11,2 lbs ,,,2,32
{9455109105156113670548},2025-01-16 0:00:00,Interlibrary Loan,Douglas County Libraries,100 S Wilcox St Castle Rock CO 80104-1911,US,Library Mail,7.24,4 lbs 11.60 oz,,,4.725,32
{9455109105156115882482},2025-01-29 0:00:00,Interlibrary Loan,Richland Public Library,955 Northgate Dr Richland WA 99352-3505,US,Library Mail,5.11,2 lbs ,,,2,32
{9455140105156000009966},2025-01-31 0:00:00,Lee Library - ILL,Brigham Young University,3330 Hbll Provo UT 84602-6901,US,Library Mail,4.4,1 lbs ,,,1,31
{9455109105156608239120},2025-01-09 0:00:00,ILL Department,Washington Corrections Center for Women,9601 Bujacich Rd NW Gig Harbor WA 98332-8300,US,Library Mail,5.82,3 lbs ,,,3,30
{9455109105156608472985},2025-01-10 0:00:00,Moody Library - ILL,Baylor University,"1 Bear Pl, Unit 97148 Waco TX 76798-7148",US,Library Mail,4.4,1 lbs ,,,1,30
{9455109105156607453244},2025-01-03 0:00:00,Interlibrary Loan Dept,Carnegie Library of Pittsburgh,50 Alexander St Pittsburgh PA 15220-5502,US,Library Mail,4.4,1 lbs ,,,1,29
{9455109105156611205044},2025-01-28 0:00:00,Interlibrary Loan,Columbus Metropolitan Library,"400 W Johnstown Rd, Ste 100 Gahanna OH 43230-2733",US,Library Mail,5.11,2 lbs ,,,2,29
{9455109105156608462689},2025-01-10 0:00:00,Interlibrary Loan,Missoula Public Library,455 E Main St Missoula MT 59802-4799,US,Library Mail,7.24,5 lbs ,,,5,28
{9455109105156113040167},2025-01-13 0:00:00,Young Research Library ILL,UCLA,280 Charles E Young Dr Los Angeles CA 90095-1575,US,Library Mail,7.95,6 lbs ,,,6,28
{9455109105156610929156},2025-01-27 0:00:00,Mansfield Library - ILL,University of Montana,32 Campus Dr Missoula MT 59812-9936,US,Library Mail,7.24,5 lbs ,,,5,28
{9455109105156608244148},2025-01-09 0:00:00,Interlibrary Loan,Broward County Main Library,100 S Andrews Ave Fort Lauderdale FL 33301-1830,US,Library Mail,5.82,3 lbs ,,,3,27
{9455109105156608243684},2025-01-09 0:00:00,Interlibrary Loan,Everett Public Library,2702 Hoyt Ave Everett WA 98201-3556,US,Library Mail,5.11,2 lbs ,,,2,27
{9455109105156113935166},2025-01-17 0:00:00,Nereida Richey - ILL clerk,Albany Public Library,2450 14th Ave SE Albany OR 97322-6880,US,Library Mail,4.4,1 lbs ,,,1,27
{9455109105156611082133},2025-01-27 0:00:00,Interlibrary Loan,Daniel Boone Regional Library,100 W Broadway Columbia MO 65203-7300,US,Library Mail,4.4,1 lbs ,,,1,27
{9455109105156607629526},2025-01-06 0:00:00,Interlibrary Loan,East Bonner County Library,1407 Cedar St Sandpoint ID 83864-2052,US,Library Mail,5.11,2 lbs ,,,2,26
{9455109105156608462955},2025-01-10 0:00:00,Alkek Library - Interlibrary Loan,Texas State University - San Marcos,601 University Dr San Marcos TX 78666-4684,US,Library Mail,6.53,4 lbs ,,,4,26
