"Transaction Date","Recipient Name","Recipient Company","Recipient Address","Recipient Country","Class","Total Cost","Package Weight","Appearances"
"4/4/2024","Interlibrary Loan","San Francisco Public Library","100 Larkin St San Francisco CA 94102-4733","US","Library Mail","4.62","2 lbs ","58"
"4/4/2024","Interlibrary Loan","Phoenix Public Library","1221 N Central Ave Phoenix AZ 85004-1867","US","Library Mail","8.83","8 lbs ","58"
"4/30/2024","InterLibrary Loan Dept","North Olympic Library System","2210 S Peabody St Port Angeles WA 98362-6536","US","Library Mail","4.62","2 lbs ","54"
"4/4/2024","Interlibrary Loan","Queens Library","8911 Merrick Blvd Jamaica NY 11432-5242","US","Library Mail","3.92","1 lbs ","54"
"4/2/2024","Interlibrary Loan Dept","Madison Public Library","201 W Mifflin St Madison WI 53703-2597","US","Library Mail","3.92","1 lbs ","50"
"4/10/2024","Interlibrary Loan Dept","Denver Public Library","10 W 14th Avenue Pkwy Denver CO 80204-2731","US","Library Mail","4.62","2 lbs ","50"
"4/4/2024","Interlibrary Loan","University of Wyoming Libraries","""1000 E University Ave, Dept 3334 Laramie WY 82071-2001""","US","Library Mail","7.42","6 lbs ","48"
"4/3/2024","Interlibrary Loan","San Juan Island Library","1010 Guard St Friday Harbor WA 98250-9240","US","Library Mail","6.72","5 lbs ","47"
"4/4/2024","Mansfield Library - ILL","University of Montana","32 Campus Dr Missoula MT 59812-9936","US","Library Mail","5.32","3 lbs ","45"
"4/29/2024","Interlibrary Loan","Salt Lake County Library Services","2197 E Ft Union Blvd Cottonwood Heights UT 84121-3139","US","Library Mail","3.92","1 lbs ","43"
"4/2/2024","Interlibrary Loan","Mid-Continent Public Library","15616 E US Highway 24 Independence MO 64050-2057","US","Library Mail","7.42","6 lbs ","43"
"4/11/2024","Interlibrary Loan","Pikes Peak Library District","PO Box 1579 Colorado Springs CO 80901-1579","US","Library Mail","5.32","2 lbs 11.50 oz","43"
"4/4/2024","Interlibrary Loan","Jefferson County Public Library","10500 W 38th Ave Wheat Ridge CO 80033-4012","US","Library Mail","5.32","3 lbs ","41"
"4/4/2024","Interlibrary Loan","Boise Public Library","715 S Capitol Blvd Boise ID 83702-7123","US","Library Mail","6.72","5 lbs ","40"
"4/10/2024","Interlibrary Loan","Twin Falls Public Library","201 4th Ave E Twin Falls ID 83301-6313","US","Library Mail","3.92","1 lbs ","39"
"4/4/2024","Interlibrary Loan","Salt Lake City Public Library","210 E 400 S Salt Lake City UT 84111-2804","US","Library Mail","4.62","2 lbs ","38"
"4/4/2024","Interlibrary Loan","Richland Public Library","955 Northgate Dr Richland WA 99352-3505","US","Library Mail","3.92","1 lbs ","38"
"4/4/2024","ILL Dept","Texas Tech University Library","2802 18th St Lubbock TX 79409-9819","US","Library Mail","3.92","1 lbs ","38"
"4/9/2024","Alkek Library - Interlibrary Loan","Texas State University-San Marcos","601 University Dr San Marcos TX 78666-4684","US","Library Mail","4.62","2 lbs ","36"
"4/3/2024","Interlibrary Loan Dept","Buffalo & Erie County Public Library","1 Lafayette Sq Buffalo NY 14203-1887","US","Library Mail","3.92","1 lbs ","35"
"4/3/2024","Lee Library - ILL","Brigham Young University","3330 Hbll Provo UT 84602-6901","US","Library Mail","5.32","3 lbs ","35"
"4/18/2024","Interlibrary Loan","Johnson County Library","PO Box 2933 Shawnee Mission KS 66201-1333","US","Library Mail","5.32","3 lbs ","35"
"4/5/2024","Interlibrary Loan","East Bonner County Library","1407 Cedar St Sandpoint ID 83864-2052","US","Library Mail","3.92","1 lbs ","34"
"4/29/2024","Newton Gresham Library - ILL","Sam Houston State University","""1830 Bobby K. Marks Dr, Campus Box 2179 Huntsville TX 77341-2179""","US","Library Mail","4.62","2 lbs ","34"
"4/4/2024","Resource Sharing Dept","Massachusetts Library System","""33 Boston Post Rd W, Ste 400 Marlborough MA 01752-1829""","US","Library Mail","4.62","2 lbs ","34"
"4/4/2024","ILL Office","Las Vegas-Clark County Library","7060 W Windmill Ln Las Vegas NV 89113-4678","US","Library Mail","4.62","2 lbs ","34"
"4/4/2024","Interlibrary Loan","Meridian Library District","1326 W Cherry Ln Meridian ID 83642-1516","US","Library Mail","5.32","3 lbs ","34"
"4/2/2024","Interlibrary Loans","UCLA Young Research Library","280 Charles E Young Dr Los Angeles CA 90095-1575","US","Library Mail","5.32","3 lbs ","34"
"4/3/2024","ILL Dept","Springfield-Greene County Library","4653 S Campbell Ave Springfield MO 65810-1723","US","Library Mail","5.32","3 lbs ","33"
"4/30/2024","Eli M Oboler Library - ILL","Idaho State University","""921 S 8th Ave, MSC 8089 Pocatello ID 83209-8089""","US","Library Mail","4.62","2 lbs ","33"
"4/4/2024","Resource Sharing","Claremont Colleges Libraries","800 N Dartmouth Ave Claremont CA 91711-3991","US","Library Mail","5.32","3 lbs ","32"
"4/11/2024","Moody Library - ILL","Baylor University","""1 Bear Pl, Unit 97148 Waco TX 76798-7148""","US","Library Mail","4.62","2 lbs ","32"
"4/11/2024","","San Jose Public Library","150 E San Fernando St San Jose CA 95112-3580","US","Library Mail","3.92","1 lbs ","31"
"4/10/2024","Interlibrary Loan","Everett Public Library","2702 Hoyt Ave Everett WA 98201-3556","US","Library Mail","4.62","2 lbs ","31"
"8/14/2024","Interlibrary Loan Department","Jefferson County Library System","620 Cedar Ave Port Hadlock WA 98339-5001","US","Library Mail","8.66","7 lbs ","30"
"4/3/2024","Interlibrary Loan","Lawrence Public Library","707 Vermont St Lawrence KS 66044-2371","US","Library Mail","4.62","2 lbs ","30"
"4/22/2024","Interlibrary Loans","Yakima Valley Libraries","102 N 3rd St Yakima WA 98901-2759","US","Library Mail","4.62","2 lbs ","29"
"4/4/2024","Interlibrary Loan","Camas Public Library","625 NE 4th Ave Camas WA 98607-2109","US","Library Mail","6.02","4 lbs ","29"
"4/2/2024","Interlibrary Loan","Pima County Public Library","101 N Stone Ave Tucson AZ 85701-1501","US","Library Mail","3.92","1 lbs ","29"
"4/3/2024","State Library","Washington Corrections Center for Women","9601 Bujacich Rd NW Gig Harbor WA 98332-8300","US","Library Mail","5.32","3 lbs ","29"
"4/2/2024","Interlibrary Loan","Bozeman Public Library","626 E Main St Bozeman MT 59715-3953","US","Library Mail","3.92","1 lbs ","29"
"4/10/2024","Interlibrary Loan","Brooklyn Public Library","10 Grand Army Plz Brooklyn NY 11238-5619","US","Library Mail","6.02","4 lbs ","28"
"4/2/2024","Interlibrary Loan","High Plains Library District","2650 W 29th St Greeley CO 80631-8504","US","Library Mail","3.92","1 lbs ","28"
"4/2/2024","Interlibrary Loan","Douglas County Libraries","100 S Wilcox St Castle Rock CO 80104-1911","US","Library Mail","6.02","4 lbs ","28"
"4/3/2024","ILL (49 HOU via TExpress)","University of Houston","4333 University Dr Houston TX 77204-2000","US","Library Mail","5.32","3 lbs ","28"
"4/4/2024","Interlibrary Loan","San Antonio Public Library","600 Soledad St San Antonio TX 78205-1200","US","Library Mail","3.92","1 lbs ","28"
"4/23/2024","Pollak Library - Interlibrary Loan","""California State University, Fullerton""","PO Box 4150 Fullerton CA 92834-4150","US","Library Mail","3.92","1 lbs ","27"
"4/2/2024","Interlibrary Loan","Schaumburg Township District Library","130 S Roselle Rd Schaumburg IL 60193-1642","US","Library Mail","3.92","1 lbs ","27"
"4/2/2024","Document Delivery Services - 1322","""University of Nevada, Reno""","1664 N Virginia St Mathewson-Igt Knowledge Ctr Reno NV 89557-1322","US","Library Mail","3.92","1 lbs ","26"
"4/29/2024","Interlibrary Loan","Wichita Public Library","711 W 2nd St N Wichita KS 67203-6004","US","Library Mail","3.92","1 lbs ","26"
"4/2/2024","Interlibrary Loan","Metropolitan Library System","""300 NE 50th St, Ste 4 Oklahoma City OK 73105-1838""","US","Library Mail","3.92","1 lbs ","25"
"4/30/2024","Interlibrary Loan","Kern County Library","701 Truxtun Ave Bakersfield CA 93301-4800","US","Library Mail","4.62","2 lbs ","25"
"4/4/2024","144 Renne Library - ILL","Montana State University - Bozeman","PO Box 173320 Bozeman MT 59717-3320","US","Library Mail","4.62","2 lbs ","25"
"4/5/2024","Interlibrary Loan","Whitman County Library","102 S Main St Colfax WA 99111-1863","US","Library Mail","4.62","2 lbs ","25"
"4/30/2024","Interlibrary Loan","Daniel Boone Regional Library","100 W Broadway Columbia MO 65203-7300","US","Library Mail","3.92","1 lbs ","25"
"4/2/2024","Interlibrary Loan","Arapahoe Libraries","12855 E Adam Aircraft Cir Englewood CO 80112-4550","US","Library Mail","3.92","1 lbs ","25"
"4/2/2024","Interlibrary Loan","Missoula Public Library","455 E Main St Missoula MT 59802-4799","US","Library Mail","3.92","1 lbs ","24"
"4/2/2024","Interlibrary Loan","Dayton Metro Library","215 E 3rd St Dayton OH 45402-2103","US","Library Mail","3.92","1 lbs ","24"
"8/12/2024","Interlibrary Loans","Orcas Island Library","500 Rose St Eastsound WA 98245-9453","US","Library Mail","5.11","2 lbs ","23"
"4/4/2024","Interlibrary Loan","Fort Bend County Libraries","1001 Golfview Dr Richmond TX 77469-5141","US","Library Mail","4.62","2 lbs ","23"
"4/22/2024","Interlibrary Loan","Birmingham Public Library","2100 Park Pl Birmingham AL 35203-2794","US","Library Mail","3.92","1 lbs ","23"
"4/4/2024","Interlibrary Loan","Rapides Parish Library","411 Washington St Alexandria LA 71301-8338","US","Library Mail","3.92","1 lbs ","23"
"4/9/2024","Interlibrary Loan","Columbus Metropolitan Library","""400 W Johnstown Rd, Ste 100 Gahanna OH 43230-2733""","US","Library Mail","3.92","1 lbs ","22"
"4/2/2024","ILL Returns","Winnefox Library System","106 Washington Ave Oshkosh WI 54901-4933","US","Library Mail","3.92","1 lbs ","22"
"4/11/2024","Interlibrary Loan","Des Plaines Public Library","1501 Ellinwood Ave Des Plaines IL 60016-4553","US","Library Mail","3.92","1 lbs ","22"
"4/3/2024","Interlibrary Loan","Finger Lakes Library System","1300 Dryden Rd Ithaca NY 14850-8734","US","Library Mail","6.02","4 lbs ","22"
"4/4/2024","Interlibrary Loan Dept","Carnegie Library of Pittsburgh","50 Alexander St Pittsburgh PA 15220-5502","US","Library Mail","3.92","1 lbs ","21"
"4/29/2024","Interlibrary Loan","Topeka & Shawnee County Public Library","1515 SW 10th Ave Topeka KS 66604-1374","US","Library Mail","4.62","2 lbs ","21"
